Year,FIPS State code  (00 for US record),FIPS county code ( 0 for US or state level records),Estimate of people of all ages in poverty,90% confidence interval lower bound of,90% confidence interval upper bound of,Estimated percent of people of all ages in poverty,90% confidence interval lower bound of,90% confidence interval upper bound of,Estimate of people age 0-17 in poverty,90% confidence interval lower bound of,90% confidence interval upper bound of,Estimated percent of people age 0-17 in poverty,90% confidence interval lower bound of,90% confidence interval upper bound of,Estimate of related children age 5-17 in families in,90% confidence interval lower bound of estimate of,90% confidence interval upper bound of estimate of,Estimated percent of related children age 5-17 in,90% confidence interval lower bound of estimate of percent,90% confidence interval upper bound of estimate of percent,Estimate of median household income,90% confidence interval lower bound of,90% confidence interval upper bound of,Estimate of people under age 5 in poverty,90% confidence interval lower bound of,90% confidence interval upper bound of,Estimated percent of people under age 5 in poverty,90% confidence interval lower bound of,90% confidence interval upper bound of,State or county name,Two-letter Postal State abbreviation,A tag indicating the file name and date of creation,
2010,27,0,595485,583230,607740,11.5,11.3,11.7,189999,182563,197435,15,14.4,15.6,124031,117459,130603,13.6,12.9,14.3,55422,54978,55866,59780,56238,63322,17.1,16.1,18.1,Minnesota,MN,est10_MN.txt,10/24/2011
2010,27,1,2090,1628,2552,13.1,10.2,16,688,525,851,24.1,18.4,29.8,438,328,548,21.1,15.8,26.4,38646,35689,41603,,,,,,,Aitkin County,MN,est10_MN.txt,10/24/2011
2010,27,3,24288,20565,28011,7.4,6.3,8.5,8655,6999,10311,10.2,8.2,12.2,5700,4557,6843,9.1,7.3,10.9,65732,64199,67265,,,,,,,Anoka County,MN,est10_MN.txt,10/24/2011
2010,27,5,4673,3889,5457,14.6,12.2,17,1773,1422,2124,22.5,18,27,1119,870,1368,19.8,15.4,24.2,43970,40699,47241,,,,,,,Becker County,MN,est10_MN.txt,10/24/2011
2010,27,7,8844,7451,10237,20.8,17.5,24.1,3199,2606,3792,29.6,24.1,35.1,2109,1705,2513,28.4,23,33.8,40308,37290,43326,,,,,,,Beltrami County,MN,est10_MN.txt,10/24/2011
2010,27,9,3989,3295,4683,10.5,8.7,12.3,1180,908,1452,12.7,9.8,15.6,738,558,918,11.4,8.6,14.2,49736,46836,52636,,,,,,,Benton County,MN,est10_MN.txt,10/24/2011
2010,27,11,579,450,708,11.3,8.8,13.8,168,129,207,15.5,11.9,19.1,111,84,138,14,10.6,17.4,40829,37853,43805,,,,,,,Big Stone County,MN,est10_MN.txt,10/24/2011
2010,27,13,10194,9061,11327,16.9,15,18.8,1769,1413,2125,14.5,11.6,17.4,1226,987,1465,14.6,11.7,17.5,46835,43727,49943,,,,,,,Blue Earth County,MN,est10_MN.txt,10/24/2011
2010,27,15,2317,1893,2741,9.3,7.6,11,670,523,817,11.9,9.3,14.5,445,347,543,11,8.6,13.4,43924,41389,46459,,,,,,,Brown County,MN,est10_MN.txt,10/24/2011
2010,27,17,3634,2992,4276,10.8,8.9,12.7,1071,839,1303,13.1,10.3,15.9,682,524,840,11.6,8.9,14.3,48959,45517,52401,,,,,,,Carlton County,MN,est10_MN.txt,10/24/2011
2010,27,19,4425,3513,5337,4.9,3.9,5.9,1515,1173,1857,5.6,4.3,6.9,965,745,1185,4.7,3.6,5.8,81935,77483,86387,,,,,,,Carver County,MN,est10_MN.txt,10/24/2011
2010,27,21,4655,3897,5413,16.4,13.7,19.1,1645,1282,2008,27,21,33,1116,851,1381,25.7,19.6,31.8,40580,38129,43031,,,,,,,Cass County,MN,est10_MN.txt,10/24/2011
2010,27,23,1226,958,1494,10,7.8,12.2,438,331,545,15.2,11.5,18.9,285,214,356,14,10.5,17.5,44717,40812,48622,,,,,,,Chippewa County,MN,est10_MN.txt,10/24/2011
2010,27,25,3909,3125,4693,7.4,5.9,8.9,1286,998,1574,9.4,7.3,11.5,814,626,1002,7.9,6.1,9.7,63237,60996,65478,,,,,,,Chisago County,MN,est10_MN.txt,10/24/2011
2010,27,27,7105,5990,8220,12.8,10.8,14.8,1993,1566,2420,14.6,11.5,17.7,1288,991,1585,13.5,10.4,16.6,48395,44870,51920,,,,,,,Clay County,MN,est10_MN.txt,10/24/2011
2010,27,29,1348,1056,1640,15.7,12.3,19.1,530,401,659,24.6,18.6,30.6,363,276,450,23.6,17.9,29.3,41913,39000,44826,,,,,,,Clearwater County,MN,est10_MN.txt,10/24/2011
2010,27,31,494,375,613,9.6,7.3,11.9,139,105,173,15.8,12,19.6,89,67,111,13.7,10.3,17.1,43694,39606,47782,,,,,,,Cook County,MN,est10_MN.txt,10/24/2011
2010,27,33,1269,993,1545,11,8.6,13.4,432,327,537,15.5,11.7,19.3,275,205,345,13.4,10,16.8,44219,40954,47484,,,,,,,Cottonwood County,MN,est10_MN.txt,10/24/2011
2010,27,35,7624,6381,8867,12.3,10.3,14.3,2502,1921,3083,17.7,13.6,21.8,1692,1298,2086,16.8,12.9,20.7,45068,42613,47523,,,,,,,Crow Wing County,MN,est10_MN.txt,10/24/2011
2010,27,37,27650,24403,30897,7,6.2,7.8,9400,7904,10896,9,7.6,10.4,5841,4729,6953,7.7,6.2,9.2,69688,67650,71726,,,,,,,Dakota County,MN,est10_MN.txt,10/24/2011
2010,27,39,1370,1055,1685,6.9,5.3,8.5,520,391,649,9,6.8,11.2,348,260,436,8.2,6.1,10.3,60398,56496,64300,,,,,,,Dodge County,MN,est10_MN.txt,10/24/2011
2010,27,41,3423,2802,4044,9.6,7.9,11.3,992,754,1230,12.8,9.7,15.9,655,491,819,11.8,8.8,14.8,48434,45605,51263,,,,,,,Douglas County,MN,est10_MN.txt,10/24/2011
2010,27,43,1522,1168,1876,10.8,8.3,13.3,565,424,706,18.4,13.8,23,373,280,466,16.6,12.4,20.8,44645,40906,48384,,,,,,,Faribault County,MN,est10_MN.txt,10/24/2011
2010,27,45,2543,2053,3033,12.4,10,14.8,933,731,1135,18.6,14.6,22.6,649,511,787,18.4,14.5,22.3,45476,42118,48834,,,,,,,Fillmore County,MN,est10_MN.txt,10/24/2011
2010,27,47,3773,3153,4393,12.3,10.3,14.3,1152,907,1397,17.2,13.6,20.8,723,558,888,15.1,11.6,18.6,42250,39650,44850,,,,,,,Freeborn County,MN,est10_MN.txt,10/24/2011
2010,27,49,3763,3035,4491,8.3,6.7,9.9,1229,943,1515,11.5,8.8,14.2,806,611,1001,10.4,7.9,12.9,55687,51886,59488,,,,,,,Goodhue County,MN,est10_MN.txt,10/24/2011
2010,27,51,641,508,774,10.8,8.5,13.1,207,160,254,16.2,12.5,19.9,135,103,167,15,11.4,18.6,44039,40462,47616,,,,,,,Grant County,MN,est10_MN.txt,10/24/2011
2010,27,53,155936,148556,163316,13.7,13,14.4,48138,44519,51757,18.7,17.3,20.1,32247,29598,34896,17.7,16.2,19.2,59252,57899,60605,,,,,,,Hennepin County,MN,est10_MN.txt,10/24/2011
2010,27,55,1747,1402,2092,9.3,7.5,11.1,547,414,680,12.5,9.4,15.6,363,273,453,11.3,8.5,14.1,50732,46688,54776,,,,,,,Houston County,MN,est10_MN.txt,10/24/2011
2010,27,57,2581,2112,3050,12.8,10.5,15.1,889,684,1094,20.4,15.7,25.1,566,425,707,18.3,13.7,22.9,42021,39400,44642,,,,,,,Hubbard County,MN,est10_MN.txt,10/24/2011
2010,27,59,3324,2619,4029,8.9,7,10.8,1146,868,1424,11.9,9,14.8,770,578,962,11.2,8.4,14,55431,52383,58479,,,,,,,Isanti County,MN,est10_MN.txt,10/24/2011
2010,27,61,5394,4353,6435,12.2,9.8,14.6,1810,1401,2219,19.2,14.9,23.5,1225,931,1519,17.6,13.4,21.8,45813,42446,49180,,,,,,,Itasca County,MN,est10_MN.txt,10/24/2011
2010,27,63,986,769,1203,9.7,7.6,11.8,333,252,414,14.6,11.1,18.1,223,168,278,13.3,10.1,16.5,50251,47341,53161,,,,,,,Jackson County,MN,est10_MN.txt,10/24/2011
2010,27,65,2172,1735,2609,13.6,10.9,16.3,772,590,954,20.4,15.6,25.2,522,397,647,18.5,14.1,22.9,42737,40492,44982,,,,,,,Kanabec County,MN,est10_MN.txt,10/24/2011
2010,27,67,6068,5265,6871,14.6,12.7,16.5,2215,1881,2549,22.3,18.9,25.7,1352,1105,1599,19.4,15.9,22.9,44926,42590,47262,,,,,,,Kandiyohi County,MN,est10_MN.txt,10/24/2011
2010,27,69,444,346,542,10,7.8,12.2,143,109,177,14.5,11,18,95,71,119,12.5,9.4,15.6,43980,40313,47647,,,,,,,Kittson County,MN,est10_MN.txt,10/24/2011
2010,27,71,1910,1521,2299,14.6,11.6,17.6,604,464,744,22,16.9,27.1,395,299,491,18.9,14.3,23.5,41695,37862,45528,,,,,,,Koochiching County,MN,est10_MN.txt,10/24/2011
