Geography Type,Geography Name,Year,Population,Households,Persons Per Household (PPH)
State,Minnesota,2018,5629416.00,2221628.00,2.47
County,Aitkin,2018,15896.00,7359.00,2.12
County,Anoka,2018,357851.00,130596.00,2.71
County,Becker,2018,34420.00,14165.00,2.4
County,Beltrami,2018,46834.00,18039.00,2.48
County,Benton,2018,40452.00,16194.00,2.43
County,Big Stone,2018,5000.00,2239.00,2.17
County,Blue Earth,2018,67785.00,26768.00,2.38
County,Brown,2018,25325.00,10923.00,2.22
County,Carlton,2018,35923.00,13780.00,2.46
County,Carver,2018,105970.00,37792.00,2.78
County,Cass,2018,29470.00,12552.00,2.33
County,Chippewa,2018,11965.00,5140.00,2.28
County,Chisago,2018,55955.00,20467.00,2.65
County,Clay,2018,63963.00,24969.00,2.45
County,Clearwater,2018,8815.00,3608.00,2.41
County,Cook,2018,5390.00,2667.00,2
County,Cottonwood,2018,11293.00,4806.00,2.3
County,Crow Wing,2018,64975.00,27313.00,2.35
County,Dakota,2018,428558.00,164174.00,2.59
County,Dodge,2018,20842.00,7842.00,2.64
County,Douglas,2018,38041.00,16495.00,2.27
County,Faribault,2018,13649.00,6132.00,2.19
County,Fillmore,2018,21063.00,8683.00,2.38
County,Freeborn,2018,30495.00,13110.00,2.28
County,Goodhue,2018,46540.00,19277.00,2.37
County,Grant,2018,5975.00,2641.00,2.24
County,Hennepin,2018,1261104.00,519173.00,2.38
County,Houston,2018,18659.00,8000.00,2.3
County,Hubbard,2018,21350.00,9124.00,2.32
County,Isanti,2018,39932.00,14955.00,2.64
County,Itasca,2018,45191.00,19321.00,2.28
County,Jackson,2018,9934.00,4399.00,2.23
County,Kanabec,2018,16213.00,6446.00,2.48
County,Kandiyohi,2018,42924.00,17088.00,2.45
County,Kittson,2018,4260.00,1912.00,2.17
County,Koochiching,2018,12630.00,5823.00,2.13
County,Lac qui Parle,2018,6662.00,3024.00,2.15
County,Lake,2018,10590.00,4852.00,2.14
County,Lake of the Woods,2018,3801.00,1729.00,2.17
County,Le Sueur,2018,28432.00,11177.00,2.52
County,Lincoln,2018,5679.00,2520.00,2.2
County,Lyon,2018,25700.00,10351.00,2.4
County,McLeod,2018,35959.00,14757.00,2.4
County,Mahnomen,2018,5526.00,2009.00,2.71
County,Marshall,2018,9384.00,3976.00,2.34
County,Martin,2018,19822.00,8871.00,2.2
County,Meeker,2018,23169.00,9282.00,2.46
County,Mille Lacs,2018,26080.00,10323.00,2.48
County,Morrison,2018,33191.00,13321.00,2.45
County,Mower,2018,40017.00,15949.00,2.47
County,Murray,2018,8293.00,3655.00,2.22
County,Nicollet,2018,34189.00,12961.00,2.42
County,Nobles,2018,22021.00,8125.00,2.66
County,Norman,2018,6518.00,2764.00,2.31
County,Olmsted,2018,157446.00,63203.00,2.45
County,Otter Tail,2018,58735.00,24840.00,2.32
County,Pennington,2018,14276.00,6094.00,2.29
County,Pine,2018,29490.00,11534.00,2.41
County,Pipestone,2018,9100.00,3987.00,2.23
County,Polk,2018,31627.00,12909.00,2.36
County,Pope,2018,11046.00,4875.00,2.23
County,Ramsey,2018,552232.00,216009.00,2.48
County,Red Lake,2018,3981.00,1729.00,2.3
County,Redwood,2018,15252.00,6422.00,2.32
County,Renville,2018,14674.00,6277.00,2.28
County,Rice,2018,66364.00,23435.00,2.52
County,Rock,2018,9435.00,3906.00,2.35
County,Roseau,2018,15313.00,6269.00,2.41
County,St. Louis,2018,200261.00,86337.00,2.21
County,Scott,2018,146111.00,49812.00,2.91
County,Sherburne,2018,96208.00,32626.00,2.88
County,Sibley,2018,15022.00,6008.00,2.46
County,Stearns,2018,159258.00,59837.00,2.54
County,Steele,2018,36933.00,14562.00,2.5
County,Stevens,2018,9680.00,3720.00,2.35
County,Swift,2018,9374.00,4163.00,2.21
County,Todd,2018,24587.00,9855.00,2.46
County,Traverse,2018,3316.00,1484.00,2.17
County,Wabasha,2018,21624.00,8961.00,2.39
County,Wadena,2018,13774.00,5765.00,2.3
County,Waseca,2018,18738.00,7333.00,2.43
County,Washington,2018,261512.00,96424.00,2.68
County,Watonwan,2018,10962.00,4501.00,2.4
County,Wilkin,2018,6293.00,2718.00,2.26
County,Winona,2018,50798.00,19889.00,2.36
County,Wright,2018,136510.00,48378.00,2.8
County,Yellow Medicine,2018,9809.00,4148.00,2.29
EDR,01 (Northwest),2018,85359.00,35653.00,2.34
EDR,02 (Headwaters),2018,86326.00,34509.00,2.43
EDR,03 (Arrowhead),2018,325881.00,140139.00,2.23
EDR,04 (West Central),2018,231469.00,95907.00,2.35
EDR,05 (North Central),2018,165997.00,68806.00,2.38
EDR,06E (Southwest Central),2018,116726.00,47404.00,2.41
EDR,06W (Upper MN Valley),2018,42810.00,18714.00,2.23
EDR,07E (East Central),2018,167670.00,63725.00,2.56
EDR,07W (Central),2018,432428.00,157035.00,2.68
EDR,08 (Southwest),2018,116707.00,48171.00,2.36
EDR,09 (South Central),2018,233924.00,94674.00,2.36
EDR,10 (Southeast),2018,510781.00,202911.00,2.43
EDR,11 (7 County Twin Cities),2018,3113338.00,1213980.00,2.52
State,Minnesota,2017,5577487.00,2201400.00,2.47
County,Aitkin,2017,15821.00,7297.00,2.13
County,Anoka,2017,352674.00,129391.00,2.7
County,Becker,2017,34103.00,14097.00,2.39
County,Beltrami,2017,46585.00,17912.00,2.48
County,Benton,2017,40128.00,16012.00,2.44
County,Big Stone,2017,5029.00,2240.00,2.18
County,Blue Earth,2017,67220.00,26462.00,2.39
County,Brown,2017,25245.00,10874.00,2.22
County,Carlton,2017,35655.00,13703.00,2.46
County,Carver,2017,102858.00,37097.00,2.75
County,Cass,2017,29327.00,12415.00,2.34
County,Chippewa,2017,12045.00,5156.00,2.29
County,Chisago,2017,55321.00,20240.00,2.65
County,Clay,2017,63789.00,24779.00,2.45
County,Clearwater,2017,8875.00,3627.00,2.42
County,Cook,2017,5388.00,2638.00,2.02
County,Cottonwood,2017,11320.00,4807.00,2.3
County,Crow Wing,2017,64517.00,27096.00,2.35
County,Dakota,2017,422580.00,162422.00,2.59
County,Dodge,2017,20762.00,7770.00,2.65
County,Douglas,2017,37654.00,16275.00,2.28
County,Faribault,2017,13671.00,6132.00,2.19
County,Fillmore,2017,20979.00,8628.00,2.39
County,Freeborn,2017,30550.00,13121.00,2.28
County,Goodhue,2017,46562.00,19205.00,2.38
County,Grant,2017,5904.00,2614.00,2.23
County,Hennepin,2017,1249512.00,513638.00,2.38
County,Houston,2017,18761.00,8002.00,2.31
County,Hubbard,2017,21034.00,8977.00,2.32
County,Isanti,2017,39553.00,14710.00,2.66
County,Itasca,2017,45346.00,19288.00,2.3
County,Jackson,2017,9951.00,4394.00,2.24
County,Kanabec,2017,16010.00,6379.00,2.47
County,Kandiyohi,2017,42768.00,17014.00,2.45
County,Kittson,2017,4262.00,1912.00,2.17
County,Koochiching,2017,12640.00,5820.00,2.13
County,Lac qui Parle,2017,6687.00,3016.00,2.17
County,Lake,2017,10531.00,4814.00,2.14
County,Lake of the Woods,2017,3802.00,1723.00,2.17
County,Le Sueur,2017,27881.00,10927.00,2.53
County,Lincoln,2017,5709.00,2525.00,2.21
County,Lyon,2017,25823.00,10341.00,2.4
County,McLeod,2017,35884.00,14675.00,2.41
County,Mahnomen,2017,5572.00,2024.00,2.71
County,Marshall,2017,9351.00,3962.00,2.34
County,Martin,2017,19865.00,8869.00,2.2
County,Meeker,2017,23155.00,9239.00,2.47
County,Mille Lacs,2017,25878.00,10244.00,2.48
County,Morrison,2017,33074.00,13238.00,2.46
